"_id","name","price","buyer","description","link"
1,"Mesa de jantar com 6 cadeiras",950,,"Mesa elástica, com estrutura em madeira maciça e tampo em MDF laminado. Estende de 6 a 8 lugares. 6 cadeiras com estrutura em madeira maciça, assento em madeira compensada multilaminada revestida com espuma de poliuretano. Inclui 2 toalhas para o tamanho menor.","http://www.tokstok.com.br/app?component=%24GradeObap.%24DirectLink&page=VitrineGrade&service=direct&session=T&sp=S39554&sp=S1%2C50%2C4400%2C4450%2C4900 http://www.tokstok.com.br/app?component=%24GradeObap.%24DirectLink&page=VitrineGrade&service=direct&session=T&sp=S108228&sp=S1%2C50%2C4400%2C5000"
2,"Microondas",120,,"LG MS1944A, 19 litros, largura 45cm, altura 25cm, profundidade 30cm.",
3,"Liquidificador",45,,"Liquidificador com 2 velocidades + pulsar. Copo de 1,7 litros.","http://www.bondfaro.com.br/preco--liquidificador--walita-ri2020-1-7-litros.html"
4,"Espremedor de suco",35,,"Espremedor de suco com copo de 1 litro.","http://www.submarino.com.br/produto/34/21500104/espremedor+de+frutas+ri2745+220v+1+litro+philips+walita?menuId=201427"
5,"Aspirador de pó",100,,"(ver site)","http://www.electrolux.com.br/produtos/aspiradores/Paginas/aspirador-lite-lite1.aspx"
6,"Varal dobrável",30,,"Dobrado: 1m / Aberto: 1,8m de comprimento, 90cm de altura",
7,"Tábua de passar",30,,"Dobrada: 1,5m / Aberta: tábua com 95cm de comprimento, altura regulável de 80 a 90 cm",
8,"Ferro de passar",50,,"(ver site)","http://www.americanas.com.br/produto/288694/eletroportateis/ferrosdepassarroupa/vapor/ferro-a-vapor-x560-black-e-decker"
9,"Lava-roupas",500,,"(ver site)","http://www.americanas.com.br/produto/358595/lavadora-de-roupa-7kg-clean-bwc07-branca-brastemp"
11,"2 Mesas escritório",350,,"2 x Mesa preta 73 cm altura, 140 cm largura, 70 cm profundidade",
12,"2 Cadeiras de escritório",400,,"2 x Cadeira giratória com regulagem de altura e reclinação, apoio para braço não regulável e encosto revestido com tela.",
13,"Gaveteiro",120,,"Gaveteiro com 2 gavetas e 1 gaveta-arquivo, tranca a chave e rodinhas. Dimensões: 37xm largura, 64cm altura, 53cm profundidade.",
14,"2 Banquinhos",60,,"2 x Banco baixo, empilhável, com estrutura em tubo de aço e assento em madeira compensada revestida com espuma de poliuretano e couro sintético.","http://www.tokstok.com.br/app?component=%24GradeObap.%24DirectLink&page=VitrineGrade&service=direct&session=T&sp=S71852&sp=S1%2C50%2C5650%2C6800"
15,"Mesinha preta",60,,"Mesa lateral com tampo e base em chapa de aço com acabamento em pintura epoxi-pó. Possui regulagem de altura e haste em tubo de aço pintado.","http://www.tokstok.com.br/app?component=%24DirectLink_2&page=VitrineProduto&service=direct&session=T&sp=S1473"
16,"Sapateira",100,,"Sapateira com 76 cm de largura, 96 cm de altura e 37 cm de profundidade. Possui 16 estantes.",
18,"Cesto de lixo pequeno",10,,"Cesto de lixo com tampa de clicar, 21 cm de altura e 16 cm de diâmetro.",
19,"Cesto de lixo médio",15,,"Cesto de lixo sem tampa, com 22 cm altura e 21 cm diâmetro.",
20,"Cesto de lixo grande",30,,"Cesto de lixo com tampa e pedal, 40 cm de altura e 25 cm de diâmetro.",
21,"Conjunto para banheiro",25,,,
22,"Conjunto de vassouras",30,,,
23,"Pregadores",30,,"Cestinho + pregadores",
24,"Telefone sem fio",50,,"Telefone Panasonic KX-TG2811 Sem Fio possui freqüência de 2,4GHz. Conta com Viva-voz. Com funções Flash, Mute e Rediscar",
25,"Telefone com fio",15,,,
26,"No break",110,,"Marca SMS, modelo New Station 700SFX (similar ao do link). Tomadas padrão antigo, 4 atrás e extensão de 90cm com mais 3 tomadas.","http://www.sms.com.br/produtos/Nobreak-SMS/New-Station"
27,"Roteador Linksys",130,,"Modelo WRT54G",
28,"Multifuncional Epson com cartuchos",200,,"Modelo Epson Stylus CX4900. Inclui cartuchos: 1 preto, 2 amarelos, 2 magentas e 1 azul.",
29,"Monitor 22 polegadas",350,,"Modelo LG Flatron Wide LX26W, tela LCD de 22 polegadas.",
30,"Quadro branco e canetas",35,,"Largura 120 cm, altura 90 cm. Inclui apagador e 5 canetas de cores variadas.",
31,"Amplificador de carro",80,,"Falcon HS560 CD",
32,"Desktop theater 5.1",100,,"Conjunto de som da Cambridge Sound Work 5.1 com sub-woofer, 220 V","http://www.amazon.co.uk/Cambridge-SoundWorks-Desktop-Theater-DTT2200/dp/B000F3AK5M"
33,"Estabilizador",50,,"Marca SMS, modelo RL1.5S. 115V, potência 300VA. 4 tomadas padrão antigo. Cabo de 90 cm.",
34,"Luminária",50,,"Luminária de mesa preta. Possui braço articulável e interruptor com 2 opcões de intensidade de luz.",
35,"Headset USB",30,,"(ver site)","http://trust.com/products/product.aspx?artnr=14804"
36,"Adega de alumínio",70,,,
37,"Porta vinho",25,,,
38,"2 Descansos de mesa",30,,"2 x descanso prateado",
40,"Mantegueira em Inox",20,,,
41,"Cestinha de vidro",10,,,
42,"12 Pratos de sobremesa e 2 bules",60,,"Conjunto com 12 pratos de sobremesa e 2 bules de chá",
43,"Conjunto saleiro + porta guardanapo",20,,,
44,"Jarra + 3 copos",25,,"Jarra de vridro de 1 litro + 3 copos de vidro.",
45,"6 copos altos e 6 copos baixos",75,,"Conjunto de 12 copos, 6 altos e 6 baixos",
46,"4 potes de tamanhos variados",50,,,
47,"2 saladeiras com tampa",25,,"2 saladeiras de tamanho diferente com tampa e fundo anti-derrapante",
48,"Saleiro e paliteiro",15,,,
49,"Conjunto de facas",45,,"Conjunto com 3 facas de diferentes tamanhos, um garfo e um afiador.",
50,"Travessa e potinhos estilo oriental",40,,,
52,"Pote grande com tampa",15,,,
53,"6 tigelas estilo oriental",30,,,
54,"Conjunto: 4 petisqueiras",30,,,
55,"Conjunto: Pratos de macarrão",,,"6 pratos de jantar + 1 travessa grande",
56,"Espremedor de suco manual, Inox",35,,,
57,"Ralador 6 faces",40,,,
58,"Panela de macarrão",,,"Panela para macarrão, com tampa furada que escorre a água. Inclui garfo de macarrão",
59,"Conjunto: 5 panelas Tramontina",,,,
60,"Travessa com segurador",,,,
61,"Conjunto: Travessas brancas",,,"Uma travessa quadrada (23x23cm) e uma retangular (20x30cm).",
62,"Conjunto: Travessas retangulares",,,"3 travessas retangulares: 12x20cm, 20x30cm e 23x34cm.",
63,"Conjunto: Talheres de madeira",,,,
64,"Conjunto: Funis",,,,
65,"Conjunto: Peneiras",,,,
66,"Copo medidor",,,,
67,"Conjunto: Talheres de plástico",,,,
68,"Conjunto: Talheres de inox",,,,
69,"Faca serrilhada",,,,
70,"Servidor de sorvete",,,,
71,"Fouet",,,,
72,"Conjunto: Utensílios de cozinha",,,"Inclui: coador, descascador, fatiador e mini-ralador",
73,"Espremedor de alho com quebra-nozes",30,,,
74,"Ralador",,,,
75,"Pegador/Pinça de silicone",5,,,
76,"Abridor de vinho",,,,
77,"Conjunto: Açucareiro e bules",,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,"Cama box",,,,
,"Travesseiros",,,,
,"Mala viagem mãe",,,,
,"Colchão solteiro",,,,
,"Taças de vinho",,,,
,"Travessas de vidro",,,,
,"Potinhos sobremesa",,,,
,"2 pufes",,,,
,"Sofá",,,,
,"Aparelho de fondue",,,,
,,,,,
,"Estante branca",,,,
,"Desktop",,,,
,"Fogão",,,,
,,,,,
,"Abajur",,,,
,"Batedeira",,,,
,"Cadeiras de plástico",,,,
,"Lego",,,,
,"Plantas",,,,
,"Patins",,,,
,,,,,
,"Bolsas e sacolas",,,,
,"Porta caneta",,,,
